文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
mcw-holidays-1.1.2-mc26.1fabric.jar,Macaw's Holidays,1.1.2,2026/03/27 上午 4:38:15,mcwholidays,rH20L2Lp,1070286,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\mcw-holidays-1.1.2-mc26.1fabric.jar
malilib-fabric-26.1.2-0.28.6.jar,MaLiLib,0.28.6,2026/05/22 上午 11:36:56,malilib,GcWjdA9I,1911163,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\malilib-fabric-26.1.2-0.28.6.jar
lsdc-fabric-6.0.0-snapshot+mc26.1-local.jar,Sodium/Embeddium Device Check 钠/铷-设备检测,6.0.0-snapshot+mc26.1-local,2026/04/02 上午 10:53:23,lsdc,6cp26sMV,354619,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\lsdc-fabric-6.0.0-snapshot+mc26.1-local.jar
lithostitched-1.7.9-fabric-26.1.jar,Lithostitched,1.7.9,2026/05/28 下午 1:34:05,lithostitched,XaDC71GB,831090,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\lithostitched-1.7.9-fabric-26.1.jar
letmedespawn-1.26.x-fabric-1.6.2.1.jar,Let Me Despawn,1.6.2,2026/04/19 下午 5:47:53,letmedespawn,vE2FN5qn,19143,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\letmedespawn-1.26.x-fabric-1.6.2.1.jar
language-reload-1.7.6+26.1.jar,Language Reload,1.7.6+26.1,2026/03/25 上午 2:20:59,languagereload,uLbm7CG6,76914,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\language-reload-1.7.6+26.1.jar
konkrete_fabric_1.10.2_MC_26.1.1.jar,Konkrete,1.10.2,2026/05/15 上午 3:44:23,konkrete,J81TRJWm,809836,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\konkrete_fabric_1.10.2_MC_26.1.1.jar
IrisExtension-fabric-1.0.2-mc26.1.jar,Iris Extension,1.0.2,2026/03/29 下午 11:00:42,iris-extension,ReJLtXi4,107329,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\IrisExtension-fabric-1.0.2-mc26.1.jar
iris-fabric-1.10.9+mc26.1.1.jar,Iris Shaders,1.10.9+mc26.1.1,2026/04/03 下午 10:29:01,iris,YL57xq9U,2803860,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\iris-fabric-1.10.9+mc26.1.1.jar
ImmediatelyFast-Fabric-1.15.2+26.1.2.jar,ImmediatelyFast,1.15.2+26.1.2,2026/04/10 上午 3:36:15,immediatelyfast,5ZwdcRci,304946,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\ImmediatelyFast-Fabric-1.15.2+26.1.2.jar
GlitchCore-fabric-26.1.2-26.1.2.0.2.jar,GlitchCore,26.1.2.0.2,2026/05/19 上午 1:12:46,glitchcore,s3dmwKy5,334853,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\GlitchCore-fabric-26.1.2-26.1.2.0.2.jar
freecam-fabric-1.4.0-rc.1+mc26.1.2.jar,Freecam,1.4.0-rc.1,2026/05/27 上午 6:23:29,freecam,XeEZ3fK2,1128888,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\freecam-fabric-1.4.0-rc.1+mc26.1.2.jar
framework-fabric-26.1.2-0.13.23.jar,,0.13.23,,framework,,1801074,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\framework-fabric-26.1.2-0.13.23.jar
ForgeConfigAPIPort-v26.1.4-mc26.1.x-Fabric.jar,Forge Config API Port,26.1.4,2026/04/26 下午 5:45:11,forgeconfigapiport,ohNO6lps,609813,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\ForgeConfigAPIPort-v26.1.4-mc26.1.x-Fabric.jar
FastItemFrames-v26.1.0-mc26.1.x-Fabric.jar,Fast Item Frames,26.1.0,2026/04/27 上午 4:22:28,fastitemframes,FsoeTIV0,99721,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\FastItemFrames-v26.1.0-mc26.1.x-Fabric.jar
fancymenu_fabric_3.9.1_MC_26.1.1-26.1.2.jar,FancyMenu,3.9.1,2026/05/15 上午 4:35:06,fancymenu,Wq5SjeWM,25764329,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\fancymenu_fabric_3.9.1_MC_26.1.1-26.1.2.jar
fabric-language-kotlin-1.13.12+kotlin.2.4.0.jar,Fabric Language Kotlin,1.13.12+kotlin.2.4.0,2026/06/03 下午 6:40:44,fabric-language-kotlin,Ha28R6CL,8076848,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\fabric-language-kotlin-1.13.12+kotlin.2.4.0.jar
fabric-api-0.150.0+26.1.2.jar,Fabric API,0.150.0+26.1.2,2026/05/28 下午 4:35:15,fabric-api,P7dR8mSH,2496495,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\fabric-api-0.150.0+26.1.2.jar
EuphoriaPatcher-1.9.3-r5.8.1-fabric.jar,Euphoria Patches,,2026/06/01 上午 6:11:50,,4H6sumDB,4296552,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\EuphoriaPatcher-1.9.3-r5.8.1-fabric.jar
do_a_barrel_roll-fabric-3.8.4+26.1.jar,Do a Barrel Roll,3.8.4,2026/04/11 上午 5:04:20,do_a_barrel_roll,6FtRfnLg,470415,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\do_a_barrel_roll-fabric-3.8.4+26.1.jar
debugify-26.1.2.2.jar,Debugify,26.1.2.2,2026/04/11 上午 4:35:54,debugify,QwxR6Gcd,364980,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\debugify-26.1.2.2.jar
cwb-4.0.6+26.1.jar,Cubes Without Borders,4.0.6+26.1,2026/06/03 下午 11:20:56,cwb,ETlrkaYF,89112,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\cwb-4.0.6+26.1.jar
CreativeCore_FABRIC_v2.14.16_mc26.1.2.jar,CreativeCore,2.14.16,2026/05/22 下午 7:50:47,creativecore,OsZiaDHq,1415484,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\CreativeCore_FABRIC_v2.14.16_mc26.1.2.jar
continuity-3.0.1-beta.2+26.1.jar,Continuity,3.0.1-beta.2+26.1,2026/04/10 上午 6:31:30,continuity,1IjD5062,1040001,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\continuity-3.0.1-beta.2+26.1.jar
collective-26.1.2-8.22.jar,Collective,8.22,2026/05/01 下午 10:13:13,collective,e0M1UDsY,965770,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\collective-26.1.2-8.22.jar
cicada-lib-0.15.1+26.1.jar,CICADA,0.15.1+26.1,2026/04/12 上午 1:25:58,cicada,IwCkru1D,360406,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\cicada-lib-0.15.1+26.1.jar
caxton-fabric-26.1.2-1.0.0-alpha.6.jar,Caxton,1.0.0-alpha.6,2026/06/05 下午 12:05:58,caxton,k8iIgzXE,5301225,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\caxton-fabric-26.1.2-1.0.0-alpha.6.jar
camerautils-fabric-1.1.2+26.1.2.jar,Camera Utils,1.1.2+26.1.2,2026/04/10 下午 9:54:44,camerautils,rrwQMaWQ,350968,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\camerautils-fabric-1.1.2+26.1.2.jar
balm-fabric-26.1.2-26.1.2.6.jar,Balm,26.1.2.6,2026/05/08 下午 2:29:56,balm,MBAkmtvl,1052063,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\balm-fabric-26.1.2-26.1.2.6.jar
BadOptimizations-2.4.1-26.1-fabric.jar,BadOptimizations,2.4.1,2026/03/29 下午 12:40:54,badoptimizations,g96Z4WVZ,61928,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\BadOptimizations-2.4.1-26.1-fabric.jar
async-fabric-0.2.2+alpha-26.1.2.jar,Async,0.2.2+alpha-26.1.2,2026/04/10 上午 2:27:54,async,vEC2jm6I,719082,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\async-fabric-0.2.2+alpha-26.1.2.jar
anvianslib-fabric-26.1-1.4.1.jar,Anvian's Lib,1.4.1,2026/05/08 下午 1:59:21,anvianslib,PuTjrq4T,28133,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\anvianslib-fabric-26.1-1.4.1.jar
AmbientSounds_FABRIC_v6.3.6_mc26.1.2.jar,自然音效 (AmbientSounds),6.3.6,2026/04/24 下午 7:08:11,ambientsounds,fM515JnW,84827805,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\AmbientSounds_FABRIC_v6.3.6_mc26.1.2.jar
almanac-1.26.x-fabric-1.6.2.1.jar,Almanac,1.6.2,2026/04/19 下午 5:46:51,almanac,Gi02250Z,1028776,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\almanac-1.26.x-fabric-1.6.2.1.jar
[Reese的钠视频界面] reeses-sodium-options-fabric-2.0.5+mc26.1.1.jar,Reese的钠视频界面 (Reese's Sodium Options),2.0.5+mc26.1.1,2026/04/04 下午 3:17:24,reeses-sodium-options,Bh37bMuy,103481,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[Reese的钠视频界面] reeses-sodium-options-fabric-2.0.5+mc26.1.1.jar
[MrCrayfish 的家具：重制] refurbished_furniture-fabric-26.1.2-1.0.23.jar,,1.0.23,,refurbished_furniture,,7260140,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[MrCrayfish 的家具：重制] refurbished_furniture-fabric-26.1.2-1.0.23.jar
